country,network_type,flipped_dimension,file_name,number_of_edges,total_triangles,imbalanced_triangles,ratio_imbalanced,edge_weight_sum
CH,one_variable_flipped,anti_economic_interventionism,CH_anti_economic_interventionism_flipped.graphml,98,166,50,0.301205,8.096766
CH,one_variable_flipped,anti_egalitarianism,CH_anti_egalitarianism_flipped.graphml,98,165,53,0.321212,8.502412
CH,one_variable_flipped,anti_immigration,CH_anti_immigration_flipped.graphml,95,140,45,0.321429,8.073937
CH,one_variable_flipped,anti_lgbt,CH_anti_lgbt_flipped.graphml,84,99,24,0.242424,7.987223
CH,one_variable_flipped,anti_libertarianism,CH_anti_libertarianism_flipped.graphml,93,140,32,0.228571,8.047929
CH,one_variable_flipped,anti_social_benefits_low_income,CH_anti_social_benefits_low_income_flipped.graphml,108,219,77,0.351598,8.875839
CH,one_variable_flipped,anti_social_benefits_parents,CH_anti_social_benefits_parents_flipped.graphml,92,133,42,0.315789,8.198733
CH,one_variable_flipped,authoritarianism,CH_authoritarianism_flipped.graphml,88,117,30,0.256410,7.938365
CH,one_variable_flipped,benefits_harm_economy,CH_benefits_harm_economy_flipped.graphml,91,119,29,0.243697,7.964644
CH,one_variable_flipped,benefits_harm_society,CH_benefits_harm_society_flipped.graphml,89,119,32,0.268908,8.013779
CH,one_variable_flipped,climate_skepticism,CH_climate_skepticism_flipped.graphml,96,149,41,0.275168,8.267015
CH,one_variable_flipped,educational_spending,CH_educational_spending_flipped.graphml,110,248,97,0.391129,9.667658
CH,one_variable_flipped,euroscepticism,CH_euroscepticism_flipped.graphml,100,168,63,0.375000,8.849083
CH,one_variable_flipped,gender_inequality,CH_gender_inequality_flipped.graphml,103,196,72,0.367347,9.079558
CH,one_variable_flipped,left_right_identification,CH_left_right_identification_flipped.graphml,96,158,43,0.272152,8.141715
CH,one_variable_flipped,welfare_chauvinism,CH_welfare_chauvinism_flipped.graphml,104,187,67,0.358289,8.615922
CH,original,,CH.graphml,92,146,43,0.294521,8.090685
CZ,one_variable_flipped,anti_basic_income,CZ_anti_basic_income_flipped.graphml,111,227,100,0.440529,8.972840
CZ,one_variable_flipped,anti_climate_ban_appliances,CZ_anti_climate_ban_appliances_flipped.graphml,112,256,123,0.480469,9.536988
CZ,one_variable_flipped,anti_climate_change_renewables,CZ_anti_climate_change_renewables_flipped.graphml,115,271,121,0.446494,9.504215
CZ,one_variable_flipped,anti_climate_change_taxes,CZ_anti_climate_change_taxes_flipped.graphml,109,218,106,0.486239,9.380509
CZ,one_variable_flipped,anti_economic_interventionism,CZ_anti_economic_interventionism_flipped.graphml,107,203,91,0.448276,8.928780
CZ,one_variable_flipped,anti_egalitarianism,CZ_anti_egalitarianism_flipped.graphml,106,193,90,0.466321,8.836042
CZ,one_variable_flipped,anti_immigration,CZ_anti_immigration_flipped.graphml,117,284,133,0.468310,9.521384
CZ,one_variable_flipped,anti_lgbt,CZ_anti_lgbt_flipped.graphml,111,223,88,0.394619,8.815055
CZ,one_variable_flipped,anti_libertarianism,CZ_anti_libertarianism_flipped.graphml,105,196,82,0.418367,8.798041
CZ,one_variable_flipped,anti_social_benefits_low_income,CZ_anti_social_benefits_low_income_flipped.graphml,105,200,92,0.460000,9.056049
CZ,one_variable_flipped,anti_social_benefits_parents,CZ_anti_social_benefits_parents_flipped.graphml,114,250,113,0.452000,9.306977
CZ,one_variable_flipped,authoritarianism,CZ_authoritarianism_flipped.graphml,111,227,105,0.462555,8.904649
CZ,one_variable_flipped,benefits_harm_economy,CZ_benefits_harm_economy_flipped.graphml,112,242,113,0.466942,9.191921
CZ,one_variable_flipped,benefits_harm_society,CZ_benefits_harm_society_flipped.graphml,117,276,131,0.474638,9.501396
CZ,one_variable_flipped,climate_skepticism,CZ_climate_skepticism_flipped.graphml,107,214,103,0.481308,9.051549
CZ,one_variable_flipped,educational_spending,CZ_educational_spending_flipped.graphml,120,290,139,0.479310,9.523414
CZ,one_variable_flipped,euroscepticism,CZ_euroscepticism_flipped.graphml,107,202,89,0.440594,9.001383
CZ,one_variable_flipped,gender_inequality,CZ_gender_inequality_flipped.graphml,114,243,107,0.440329,9.092834
